quando;astra_rss_mb;astra_commit_mb;threads;heap_usado_mb;heap_commit_mb;voz_rss_mb;total_mb
13:28:37;557,3;418,1;80;33;39;0;557,3
13:28:43;557,9;418,8;80;33,1;39;0;557,9
13:28:48;575,3;437,4;80;28,4;43;0;575,3
13:28:53;561,3;422,2;77;32,4;41;56,4;617,7
13:28:58;558,8;418,2;77;32,7;39;56,8;615,6
13:29:03;562,8;422,5;70;29,8;39;57,1;619,9
13:29:08;569,5;428,5;72;32,4;39;57,5;627
13:29:13;616,6;578;77;40,5;154;0;616,6
13:29:19;771,4;709,2;74;78,9;154;0;771,4
13:29:24;753,6;656,6;75;50,1;154;0;753,6
13:29:29;828,5;690;76;40,5;61;0;828,5
13:29:34;857,4;720,4;74;43,4;62;0;857,4
13:29:39;901;765,5;75;49,7;63;0;901
13:29:44;875,1;735,9;74;32,6;44;0;875,1
13:29:50;871;731,3;76;35,4;44;0;871
13:29:55;872,1;732,4;76;37;44;0;872,1
13:30:00;872,2;732,5;76;39,2;44;0;872,2
13:30:05;872,2;732,5;76;33,5;44;0;872,2
13:30:10;872,2;732,5;76;39,7;44;0;872,2
13:30:15;871,1;731,4;76;34,7;44;0;871,1
13:30:20;872,8;733,2;75;37,2;44;0;872,8
13:30:26;873,7;734,1;75;32,7;44;0;873,7
13:30:31;873,7;734,6;78;38,3;44;0;873,7
13:30:36;873,7;734,5;76;38,3;44;0;873,7
