# catalogo de jogos do Astra — nome de executavel -> titulo
# destilado de https://discord.com/api/v9/applications/detectable
# 11104 entradas · instantaneo de 2026-08-27
# refazer com: node tools/atualizar-catalogo-de-jogos.mjs
-arcane raise-/game.exe	Arcane Raise
.autorun/autorun.exe	Passing Pineview Forest
10 minutes till dawn/minutestilldawn.exe	10 Minutes Till Dawn
10 second ninja x/10snx.exe	10 Second Ninja X
100 aliens cats/100 aliens cats.exe	100 Aliens Cats
100 asian cats/100 asian cats.exe	100 Asian Cats
100 capitalist cats/100 capitalist cats.exe	100 Capitalist Cats
100 cats new york/100 cats new york.exe	100 Cats New York
100 christmas cats/100 christmas cats.exe	100 Christmas Cats
100 dino cats/100 dino cats.exe	100 Dino Cats
100 doors games - escape from school/escapefromschool.exe	100 Doors Games: Escape from School
100 funny cats/100 funny cats.exe	100 Funny Cats
100 istanbul cats/100 istanbul cats.exe	100 Istanbul Cats
100 korea cats/100 korea cats.exe	100 Korea Cats
100 march cats/100 march cats.exe	100 March Cats
100 new year cats/100 new year cats.exe	100 New Year Cats
100 ninja cats/100 ninja cats.exe	100 Ninja Cats
100 robo cats/100 robo cats.exe	100 Robo Cats
100 romantic cats/100 romantic cats.exe	100 Romantic Cats
100 space cats/100 space cats.exe	100 Space Cats
100 waiting cats/100 waiting cats.exe	100 Waiting Cats
10000000/10000000.exe	10000000
1000xresist/1000xresist.exe	1000xRESIST
100orange.exe	100% Orange Juice
105.1.1-1821-gaca6f20/spring.exe	Zero-K
112 operator/operator 112.exe	112 Operator
12ibt6hi/12ibt6.exe	12 is Better than 6
140/140.exe	140
1914-1918 series.exe	Verdun
1982/1982.exe	1982
198x/198x.exe	198X
1bitheart/game.exe	1bitHeart
1v1.lol/1v1_lol.exe	1v1.LOL
20 small mazes/20sm.exe	20 Small Mazes
200 mixed juice!/200mj.exe	200% Mixed Juice!
2017/vc_redist.x86.exe	Ironsight
2024 mosaic retrospective/retrospective 2024.exe	2024: Mosaic Retrospective
20minutetilldawn/minutestilldawn.exe	20 Minutes Till Dawn
20xx.exe	20XX
270  two seventy us election/270.exe	270 | Two Seventy US Election
2fightsin2tightspaces.exe	2 Fights in 2 Tight Spaces
2xko/live/lion/binaries/win64/lion-win64-shipping.exe	2XKO
2xko/live/lion/binaries/win64/lion.exe	2XKO
30xx/30xx.exe	30XX
35mm/35mm.exe	35MM
360 no scope arena/360noscopearena.exe	360 No Scope Arena
3d aim trainer/3dat.exe	3D Aim Trainer
4d miner demo/4d miner.exe	4D Miner
4d minesweeper/4d minesweeper 64.exe	4D Minesweeper
50 floors the paranormal investigators prologue/50floors.exe	50 Floors: The Paranormal Investigators Prologue
5dchesswithmultiversetimetravel/5dchesswithmultiversetimetravel.exe	5D Chess With Multiverse Time Travel
6.0.0/dotnet.exe	tModLoader
60 parsecs!/60parsecs.exe	60 Parsecs!
60 seconds! reatomized/60secondsreatomized.exe	60 Seconds! Reatomized
60seconds.exe	60 Seconds!
64-bit/notime64.exe	No Time
64.0/64.0.exe	64.0
64/fc_64.exe	FortressCraft Evolved!
64bit/niche.exe	Niche: A Genetics Survival Game
64bit/nolimits2app.exe	NoLimits 2 Roller Coaster Simulation Demo
64bit/nolimits2stm.exe	No Limits 2
7 billion humans/7 billion humans.exe	7 Billion Humans
7 days to end with you/seven days to end with you.exe	7 Days to End with You
7daystodie.exe	7 Days to Die
80 days/80 days.exe	80 Days
